person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,dti_ratio,interest_burden,age_group,income_group
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.26666666666666666,211840.0,20-30,Very High
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.3268421052631579,439978.5,20-30,Very High
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.07924836601307189,335862.5,20-30,Very High
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.026,105222.0,20-30,Very High
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.20833333333333334,18775.0,20-30,Low
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.625,551700.0,20-30,Medium
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.46875,436200.0,20-30,High
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.4,506700.0,20-30,High
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,0.4195804195804196,329700.0,20-30,High
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.48348106365834004,539700.0,20-30,High
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.20833333333333334,31725.0,20-30,Low
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.06666666666666667,157600.0,20-30,Very High
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.08083333333333333,470692.5,20-30,Very High
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.03333333333333333,103800.00000000001,20-30,Very High
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.08333333333333333,383250.0,20-30,Very High
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.06,296100.0,20-30,Very High
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.37179328293468833,224700.0,20-30,Very High
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.45248868778280543,380700.0,20-30,High
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.33697263782180886,198600.0,20-30,Very High
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,0.38461538461538464,329700.0,20-30,High
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.38461538461538464,558600.0,20-30,High
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.32607277944437196,456900.0,20-30,Very High
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.30927835051546393,319500.0,20-30,Very High
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.25,237000.0,20-30,Very High
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.03571428571428571,159600.0,20-30,Very High
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.07217506784456378,229600.0,20-30,Very High
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,0.1263537906137184,384650.0,20-30,Very High
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.234375,218700.0,20-30,Very High
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,0.14583333333333334,19232.5,20-30,Low
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.22900763358778625,179700.0,20-30,Very High
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.04363636363636364,138960.0,20-30,Very High
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0.03802281368821293,109900.0,20-30,Very High
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.1126887536623845,392500.0,20-30,Very High
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.4157142857142857,465309.0,20-30,High
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.125,22260.0,20-30,Low
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.1076923076923077,307720.0,20-30,Very High
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.07722007722007722,288400.0,20-30,Very High
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.03764705882352941,67104.0,20-30,Very High
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1,337250.0,20-30,Very High
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,0.25,32970.0,20-30,Low
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,0.4916593503072871,307720.0,20-30,High
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.25,40830.0,20-30,Low
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.4307692307692308,221200.0,20-30,High
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.32941176470588235,209720.0,20-30,Very High
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.5083333333333333,45811.0,20-30,Low
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.3181818181818182,277480.0,20-30,Very High
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.35,56616.0,20-30,Low
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.3958333333333333,33915.0,20-30,Low
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.33733314057153874,447720.0,20-30,Very High
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.072,233640.0,20-30,Very High
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.0192,65136.0,,Very High
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.28,355320.0,20-30,Very High
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.2545454545454545,249200.0,20-30,Very High
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,0.225,29673.0,20-30,Low
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,0.25925925925925924,307720.0,20-30,Very High
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.18518518518518517,311080.0,20-30,Very High
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,0.4,303324.0,20-30,High
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.2708333333333333,50960.0,20-30,Low
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.39285714285714285,359150.0,20-30,High
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,0.10416666666666667,274750.0,20-30,Very High
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.36953551912568305,422521.0,20-30,High
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.3253012048192771,364230.0,20-30,Very High
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,0.36785242305753485,296730.0,20-30,High
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.416,304460.0,20-30,High
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.21333333333333335,324864.0,20-30,Very High
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.12944983818770225,21712.0,20-30,Low
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.4245833333333333,279970.25,20-30,High
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.08547008547008547,285400.0,20-30,Very High
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.08547008547008547,177600.00000000003,20-30,Very High
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.09230769230769231,263088.0,20-30,Very High
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.053845179272773346,171598.0,20-30,Very High
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.10752688172043011,354250.0,20-30,Very High
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.15217391304347827,489650.0,20-30,Very High
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.30481927710843376,278047.0,20-30,Very High
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,0.15873015873015872,10840.0,20-30,Low
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.1388888888888889,23817.5,20-30,Low
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.5882352941176471,318250.0,20-30,Medium
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,0.6097560975609756,274750.0,20-30,Medium
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.2340823970037453,38610.0,20-30,Low
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.2816358024691358,36171.5,20-30,Low
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.08849557522123894,229800.0,20-30,Very High
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.13333333333333333,597300.0,20-30,Very High
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.1643192488262911,372750.0,20-30,Very High
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,0.02666666666666667,65940.0,20-30,Very High
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.3472222222222222,53235.0,20-30,Low
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.18467220683287167,32376.0,20-30,Low
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.5952380952380952,364750.0,20-30,Medium
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.5208333333333334,241000.0,20-30,Medium
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.2770083102493075,52524.0,20-30,Low
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,0.3654970760233918,52202.5,20-30,Low
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.5901794145420207,408750.00000000006,20-30,Medium
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.5102040816326531,274750.0,20-30,Medium
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.1111111111111111,466750.00000000006,20-30,Very High
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.013333333333333334,27960.0,20-30,Very High
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.03333333333333333,64725.00000000001,20-30,Very High
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.1111111111111111,252000.0,20-30,Very High
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.5054180818372959,295750.0,20-30,Medium
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.5,197500.0,20-30,Medium
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.5,149750.0,20-30,Medium
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.5681818181818182,383250.0,20-30,Medium
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.5,295750.0,20-30,Medium
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.49996000319974404,259000.0,20-30,Medium
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.49996000319974404,305750.0,20-30,Medium
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.4807692307692308,277750.0,20-30,Medium
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.375,39105.0,20-30,Low
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.11363636363636363,289500.0,20-30,Very High
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.09722222222222222,186900.0,20-30,Very High
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.11574074074074074,401750.0,20-30,Very High
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.09259259259259259,284400.0,20-30,Very High
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.16279069767441862,517649.99999999994,20-30,Very High
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.05581395348837209,94560.0,20-30,Very High
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.4807692307692308,330500.0,20-30,Medium
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.5434782608695652,296500.0,20-30,Medium
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.4716981132075472,335750.0,20-30,Medium
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.5319148936170213,382000.0,20-30,Medium
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.5319148936170213,448250.0,20-30,Medium
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.10606060606060606,12950.0,20-30,Low
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.3409090909090909,58410.0,20-30,Low
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.0761904761904762,169920.0,20-30,Very High
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.10476190476190476,260260.0,20-30,Very High
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.5208333333333334,460750.0,20-30,Medium
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,0.4545785148010764,274750.0,20-30,Medium
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,0.45454545454545453,274750.0,20-30,Medium
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.45454545454545453,284000.0,20-30,Medium
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.45454545454545453,391250.0,20-30,Medium
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.4531941121020956,330500.0,20-30,High
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.44642857142857145,321750.0,20-30,High
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.09828009828009827,260799.99999999997,20-30,Very High
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.11578947368421053,386759.99999999994,20-30,Very High
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.5567528735632183,132060.0,20-30,Low
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.4166666666666667,274750.0,20-30,High
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.4166666666666667,277750.0,20-30,High
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.46296296296296297,370750.0,20-30,Medium
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,0.2857142857142857,43960.0,20-30,Low
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.06,152280.0,20-30,Very High
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.06,161880.0,20-30,Very High
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.08,234400.0,20-30,Very High
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.46296296296296297,420500.0,20-30,Medium
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.4166666666666667,318250.0,20-30,High
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.4166666666666667,256250.0,20-30,High
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.4166666666666667,274750.0,20-30,High
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.4034926322245356,318250.0,20-30,High
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.4432624113475177,374000.0,20-30,High
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0.14,307720.0,20-30,Very High
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.125,349750.0,20-30,Very High
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.12,179760.0,20-30,Very High
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.075,221850.0,20-30,Very High
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.0775,185845.0,20-30,Very High
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.05,84900.0,20-30,Very High
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.3787878787878788,247750.0,20-30,High
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.3787878787878788,326500.0,20-30,High
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.045,55530.0,20-30,Very High
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.03,71160.0,,Very High
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.09,293760.0,20-30,Very High
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.06,124560.00000000001,20-30,Very High
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.11525,330767.5,20-30,Very High
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0.1,219800.0,20-30,Very High
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,0.4166666666666667,274750.0,20-30,High
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,0.20833333333333334,32970.0,20-30,Low
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.37315660636455905,380250.0,20-30,High
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.373134328358209,197500.0,20-30,High
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.373134328358209,274750.0,20-30,High
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.36764705882352944,352250.0,20-30,High
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.36231884057971014,437249.99999999994,20-30,High
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.06,137760.0,20-30,Very High
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.10638297872340426,354799.99999999994,20-30,Very High
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.015,41760.0,20-30,Very High
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.35716326647236984,380250.0,20-30,High
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.2777777777777778,43960.0,20-30,Low
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.35714285714285715,296500.0,20-30,High
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.4166666666666667,44940.0,20-30,Low
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.44563279857397503,412249.99999999994,20-30,High
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.3787878787878788,383250.0,20-30,High
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.3787878787878788,289500.0,20-30,High
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.3732638888888889,31121.25,20-30,Low
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.3442957086982868,327750.0,20-30,High
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.33783783783783783,259000.0,20-30,High
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.3333333333333333,259000.0,20-30,High
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,0.11458333333333333,241780.0,20-30,Very High
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,0.10416666666666667,130800.0,20-30,Very High
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.05235602094240838,125300.0,20-30,Very High
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0.0788229111928534,164850.0,20-30,Very High
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0.05263157894736842,109900.0,20-30,Very High
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.3333333333333333,256250.0,20-30,High
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.352112676056338,398750.0,20-30,High
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.10526315789473684,243600.0,20-30,Very High
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.12631844880944862,283920.0,20-30,Very High
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,0.32051282051282054,274750.0,20-30,High
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.32051282051282054,265500.0,20-30,High
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.3184551105676144,268500.0,20-30,High
