person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,dti_ratio,interest_burden,Cluster,Default_Probability,Risk_Level,Home Ownership,Loan Purpose,Loan Grade,Default History,Actual Default Status,Cluster_Name,Income Group,Age Group
27,115087,4.304202767638131,25000,13.299159446472373,0.22,6,0.2172577973430622,332478.98616180936,0,0.89341563,High Risk,MORTGAGE,MEDICAL,C,N,Default,Low Risk,High Income,20-25
39,33906,8.0,9919,13.925840001070345,0.2939954584872399,14,0.29268360179841546,137405.22190385955,0,0.9096521,High Risk,RENT,MEDICAL,D,N,Default,Low Risk,Middle Income,25-30
25,60000,9.0,4500,10.99,0.07,2,0.075,49455.0,1,0.04051452,Low Risk,RENT,HOMEIMPROVEMENT,B,N,Default,Medium Risk,Low Income,20-25
21,41000,5.0,7000,5.79,0.17,3,0.1707317073170731,40530.0,2,0.017149193,Low Risk,RENT,EDUCATION,A,N,No Default,High Risk,Upper Middle Income,20-25
33,55049,7.423610315036264,17474,17.20037835089351,0.3196604902890501,7,0.3170221072790447,298326.790194219,0,0.9973586,High Risk,OTHER,HOMEIMPROVEMENT,E,Y,Default,Low Risk,Middle Income,25-30
23,60000,5.0,15000,15.21,0.25,3,0.25,228150.0,0,0.098103434,Low Risk,MORTGAGE,PERSONAL,D,Y,No Default,Low Risk,Low Income,20-25
32,30565,1.1312669028750093,8386,12.80660911129749,0.27696900354312515,7,0.27414674165309155,106880.9088306332,0,0.9998518,High Risk,OTHER,PERSONAL,B,N,Default,Low Risk,Middle Income,20-25
24,50000,8.0,8000,10.99,0.16,3,0.16,87920.0,1,0.03941481,Low Risk,MORTGAGE,PERSONAL,B,N,No Default,Medium Risk,Upper Middle Income,20-25
31,78504,2.0,10000,11.41,0.13,7,0.1273820442270457,114100.0,1,0.1324226,Low Risk,RENT,EDUCATION,C,N,No Default,Medium Risk,Low Income,25-30
28,45034,8.368729077538884,7545,14.840128208110706,0.17,6,0.16755384080908137,111966.62013554003,1,0.9470618,High Risk,RENT,MEDICAL,D,N,Default,Medium Risk,Upper Middle Income,20-25
23,33000,7.0,5500,14.54,0.17,2,0.1666666666666666,79970.0,1,0.86537755,High Risk,RENT,MEDICAL,D,N,Default,Medium Risk,Middle Income,20-25
23,57600,6.0,4000,5.42,0.07,2,0.0694444444444444,21680.0,2,0.020264203,Low Risk,MORTGAGE,DEBTCONSOLIDATION,A,N,No Default,High Risk,Low Income,20-25
24,71000,8.0,20000,11.36,0.28,2,0.2816901408450704,227200.0,0,0.14499028,Low Risk,MORTGAGE,EDUCATION,B,N,No Default,Low Risk,Low Income,20-25
28,24030,3.8781062425595465,7772,13.80977506004465,0.32060946878720226,7,0.32343725458906863,107312.1308617327,0,0.9997962,High Risk,RENT,PERSONAL,C,N,Default,Low Risk,Middle Income,20-25
40,58500,3.0,5000,7.49,0.09,11,0.0854700854700854,37450.0,2,0.044220332,Low Risk,RENT,EDUCATION,A,N,No Default,High Risk,Low Income,25-30
26,56004,3.0,13000,8.59,0.23,3,0.2321262766945218,111670.0,2,0.074049674,Low Risk,MORTGAGE,EDUCATION,A,N,No Default,High Risk,Low Income,20-25
26,66612,10.0,5387,15.304013189845032,0.07774315412266872,2,0.08093065464532047,81742.8234049652,1,0.5025567,High Risk,OWN,EDUCATION,D,Y,Default,Medium Risk,Low Income,20-25
24,39000,8.0,1200,10.99,0.03,2,0.0307692307692307,13188.0,1,0.009060622,Low Risk,MORTGAGE,VENTURE,A,N,No Default,Medium Risk,Upper Middle Income,20-25
23,55488,4.0,5000,15.21,0.08,2,0.0901095732410611,76050.0,1,0.91739374,High Risk,RENT,MEDICAL,D,N,Default,Medium Risk,Low Income,20-25
26,32552,8.094047674286971,14272,7.346632657796026,0.4381683671101987,4,0.43836072331802856,104734.30443352679,0,0.9996518,High Risk,RENT,EDUCATION,A,N,Default,Low Risk,Middle Income,20-25
29,33472,0.9494979750934622,4474,14.705853442341114,0.13424246962640193,7,0.13349103158540568,64957.17068846822,1,0.9980228,High Risk,RENT,MEDICAL,D,N,Default,Medium Risk,Middle Income,20-25
22,15996,3.0,4000,13.35,0.25,2,0.2500625156289072,53400.0,1,0.9805941,High Risk,RENT,DEBTCONSOLIDATION,C,Y,Default,Medium Risk,Middle Income,20-25
22,71500,2.0,6400,13.11,0.09,4,0.0895104895104895,83904.0,1,0.051196925,Low Risk,RENT,EDUCATION,C,N,No Default,Medium Risk,Low Income,20-25
26,62848,8.518540952879082,8918,15.568802409659549,0.1212036476178023,3,0.14191006750796564,138757.5413716926,1,0.99625236,High Risk,MORTGAGE,MEDICAL,D,Y,Default,Medium Risk,Low Income,20-25
36,126251,16.0,14000,7.66,0.11,17,0.1108902107706077,107240.0,2,0.04621052,Low Risk,RENT,HOMEIMPROVEMENT,A,N,No Default,High Risk,High Income,25-30
25,80000,9.0,14000,15.62,0.17,4,0.175,218680.0,1,0.03551996,Low Risk,MORTGAGE,VENTURE,D,Y,No Default,Medium Risk,High Income,20-25
27,40000,3.7434781758243294,14769,11.173413104285604,0.37358695439560824,3,0.3692282589560474,164733.79561364843,0,0.9997968,High Risk,RENT,MEDICAL,B,N,Default,Low Risk,Upper Middle Income,20-25
31,30000,10.402402193206226,10000,11.046433939686828,0.33,5,0.3333333333333333,110464.3393968683,0,0.99966586,High Risk,RENT,MEDICAL,B,N,Default,Low Risk,Middle Income,20-25
33,35000,5.0,11200,10.36,0.32,9,0.32,116032.0,0,0.9957379,High Risk,RENT,MEDICAL,B,N,Default,Low Risk,Middle Income,25-30
25,52251,8.636500435443509,11575,14.011025370126983,0.22151332752741987,4,0.22187026347286654,161334.47979098713,0,0.8592869,High Risk,RENT,HOMEIMPROVEMENT,C,N,Default,Low Risk,Upper Middle Income,20-25
21,98000,5.0,6000,10.59,0.06,4,0.0612244897959183,63540.0,1,0.03388044,Low Risk,MORTGAGE,PERSONAL,B,N,No Default,Medium Risk,High Income,20-25
37,45996,11.0,6000,9.25,0.13,16,0.1304461257500652,55500.0,2,0.0032763674,Low Risk,MORTGAGE,VENTURE,B,N,No Default,High Risk,Upper Middle Income,25-30
28,65000,12.0,15000,9.99,0.23,10,0.2307692307692307,149850.0,0,0.10103683,Low Risk,MORTGAGE,EDUCATION,B,N,No Default,Low Risk,Low Income,20-25
27,49025,5.870340581998506,4805,15.980405203067889,0.1,4,0.09801210588489848,76786.9561790932,1,0.9994375,High Risk,RENT,DEBTCONSOLIDATION,D,N,Default,Medium Risk,Upper Middle Income,20-25
27,45048,10.652295958604462,16866,15.031938244946144,0.3751752555446491,9,0.37472890061718966,250764.21962811842,0,0.99936634,High Risk,RENT,HOMEIMPROVEMENT,C,Y,Default,Low Risk,Upper Middle Income,20-25
27,44000,5.0,13650,10.65,0.31,7,0.3102272727272727,145372.5,0,0.9984263,High Risk,RENT,EDUCATION,B,N,Default,Low Risk,Upper Middle Income,20-25
22,28681,4.106192974612505,10127,18.436286153920367,0.3495573677151255,3,0.3539539850860615,186515.18074864993,0,0.98718655,High Risk,OWN,MEDICAL,E,N,Default,Low Risk,Middle Income,20-25
22,9626,3.2456111174275506,4500,8.63,0.4699297778788408,3,0.46978323539443756,38835.0,0,0.99996626,High Risk,OWN,HOMEIMPROVEMENT,A,N,Default,Low Risk,Middle Income,20-25
35,88000,4.0,10000,14.11,0.11,6,0.1136363636363636,141100.0,1,0.122196555,Low Risk,MORTGAGE,PERSONAL,D,Y,Default,Medium Risk,High Income,25-30
30,33000,4.0,1000,14.79,0.03,9,0.0303030303030303,14790.0,1,0.36661157,Medium Risk,RENT,DEBTCONSOLIDATION,C,Y,No Default,Medium Risk,Middle Income,20-25
31,120000,0.0,20000,11.14,0.17,9,0.1666666666666666,222800.0,0,0.004480653,Low Risk,MORTGAGE,VENTURE,B,N,No Default,Low Risk,High Income,25-30
29,65000,13.0,16000,12.87,0.25,10,0.2461538461538461,205920.0,0,0.030553462,Low Risk,MORTGAGE,PERSONAL,C,Y,No Default,Low Risk,Low Income,20-25
23,100000,2.0,14000,6.17,0.14,4,0.14,86380.0,2,0.0075756926,Low Risk,MORTGAGE,DEBTCONSOLIDATION,A,N,No Default,High Risk,High Income,20-25
23,83300,0.0,25000,10.99,0.26,2,0.3001200480192076,274750.0,0,0.7155391,High Risk,OWN,MEDICAL,D,N,Default,Low Risk,High Income,20-25
26,34413,3.4134961185275747,14939,13.534257050080956,0.43346015525889703,4,0.43436977577311037,202061.91321097297,0,0.99989736,High Risk,RENT,HOMEIMPROVEMENT,C,Y,Default,Low Risk,Middle Income,20-25
23,70000,7.0,1600,11.14,0.02,4,0.0228571428571428,17824.0,1,0.07091697,Low Risk,RENT,DEBTCONSOLIDATION,B,N,No Default,Medium Risk,Low Income,20-25
24,9600,3.0,1300,12.73,0.14,2,0.1354166666666666,16549.0,1,0.5315575,High Risk,RENT,EDUCATION,C,N,Default,Medium Risk,Middle Income,20-25
22,40000,6.0,4800,10.99,0.12,2,0.12,52752.0,1,0.028064298,Low Risk,MORTGAGE,PERSONAL,A,N,No Default,Medium Risk,Upper Middle Income,20-25
31,129388,0.0,11613,13.003061508048141,0.08613392060192629,7,0.08989550562733328,145567.58062013643,1,0.89016086,High Risk,MORTGAGE,HOMEIMPROVEMENT,C,N,Default,Medium Risk,High Income,20-25
22,57600,4.0,1500,5.99,0.03,3,0.0260416666666666,8985.0,2,0.009399252,Low Risk,OWN,EDUCATION,A,N,No Default,High Risk,Low Income,20-25
23,33999,0.41761852508973407,11541,11.448238147491027,0.3408352370501795,2,0.3394670524177031,132113.70145522043,0,0.9953101,High Risk,OWN,DEBTCONSOLIDATION,A,N,Default,Low Risk,Middle Income,20-25
37,80000,0.0,35000,11.99,0.44,17,0.4375,419650.0,0,0.99125683,High Risk,RENT,HOMEIMPROVEMENT,B,N,Default,Low Risk,High Income,25-30
26,80004,7.0,7500,15.23,0.09,2,0.0937453127343632,114225.0,1,0.37872338,Medium Risk,MORTGAGE,DEBTCONSOLIDATION,C,Y,Default,Medium Risk,High Income,20-25
40,28000,2.0,5000,12.99,0.18,13,0.1785714285714285,64950.0,1,0.10427047,Low Risk,RENT,VENTURE,C,Y,No Default,Medium Risk,Middle Income,25-30
23,68000,4.0,1000,8.0,0.01,4,0.0147058823529411,8000.0,2,0.047090434,Low Risk,MORTGAGE,EDUCATION,A,N,No Default,High Risk,Low Income,20-25
22,47814,2.3342926546335727,14166,13.764888478898847,0.29500359745487587,3,0.29637521300269565,194874.99640254513,0,0.98782384,High Risk,RENT,PERSONAL,C,N,Default,Low Risk,Upper Middle Income,20-25
22,23452,1.3682031911918966,1614,17.380750713072345,0.06912135460794598,2,0.06900096545522462,27861.191911417918,1,0.9999113,High Risk,RENT,HOMEIMPROVEMENT,D,Y,Default,Medium Risk,Middle Income,20-25
22,68000,3.0,6500,5.99,0.1,4,0.0955882352941176,38935.0,2,0.0014436315,Low Risk,MORTGAGE,VENTURE,A,N,No Default,High Risk,Low Income,20-25
25,40000,6.0,5000,12.61,0.13,4,0.125,63050.0,1,0.05466763,Low Risk,MORTGAGE,PERSONAL,C,Y,No Default,Medium Risk,Upper Middle Income,20-25
42,22800,6.0,10000,10.99,0.44,17,0.4385964912280701,109900.0,0,0.9935428,High Risk,RENT,EDUCATION,B,N,Default,Low Risk,Middle Income,30-35
24,100000,1.0,10200,12.99,0.1,4,0.102,132498.0,1,0.03501484,Low Risk,RENT,PERSONAL,C,Y,No Default,Medium Risk,High Income,20-25
24,93000,5.0,12000,16.29,0.13,3,0.1290322580645161,195480.0,1,0.93304396,High Risk,MORTGAGE,DEBTCONSOLIDATION,D,Y,Default,Medium Risk,High Income,20-25
22,78000,6.0,9600,10.95,0.12,2,0.123076923076923,105120.0,1,0.29476312,Medium Risk,MORTGAGE,DEBTCONSOLIDATION,B,N,No Default,Medium Risk,Low Income,20-25
24,15640,2.779170949520035,10205,11.460019184434787,0.6544165810095993,3,0.6565817557772909,116504.36420875543,0,0.9999895,High Risk,RENT,HOMEIMPROVEMENT,B,N,Default,Low Risk,Middle Income,20-25
38,24000,3.0,3000,10.99,0.13,16,0.125,32970.0,1,0.077214085,Low Risk,RENT,MEDICAL,C,Y,No Default,Medium Risk,Middle Income,25-30
26,32000,7.0,6375,10.74,0.2,2,0.19921875,68467.5,1,0.42439017,Medium Risk,RENT,DEBTCONSOLIDATION,B,N,No Default,Medium Risk,Middle Income,20-25
32,111986,1.9934060434075351,22491,14.844879527878424,0.2049505453255565,11,0.20030121121677164,330187.4714824743,0,0.9992642,High Risk,OTHER,HOMEIMPROVEMENT,D,N,Default,Low Risk,High Income,20-25
28,29784,4.0,11775,6.77990968613517,0.3946097858606123,7,0.3951962211952216,79672.22839250529,0,0.99781656,High Risk,RENT,DEBTCONSOLIDATION,A,N,Default,Low Risk,Middle Income,20-25
25,22776,4.0,7000,9.91,0.31,4,0.3073410607657183,69370.0,0,0.99763,High Risk,RENT,HOMEIMPROVEMENT,B,N,Default,Low Risk,Middle Income,20-25
23,47000,8.0,7500,7.51,0.16,4,0.1595744680851064,56325.0,2,0.0034328648,Low Risk,MORTGAGE,VENTURE,A,N,No Default,High Risk,Upper Middle Income,20-25
26,94800,10.0,14000,6.03,0.15,4,0.1476793248945147,84420.0,2,0.008507795,Low Risk,MORTGAGE,DEBTCONSOLIDATION,A,N,No Default,High Risk,High Income,20-25
23,57996,7.0,10000,13.23,0.17,3,0.1724256845299676,132300.0,1,0.12700842,Low Risk,RENT,EDUCATION,C,N,No Default,Medium Risk,Low Income,20-25
23,80000,7.0,10000,7.74,0.13,2,0.125,77400.0,2,0.019129256,Low Risk,MORTGAGE,MEDICAL,A,N,No Default,High Risk,High Income,20-25
31,31141,4.734275516306054,2753,12.110381535961642,0.0884381632246263,6,0.08847788243527115,32956.75829636788,1,0.9932047,High Risk,OTHER,EDUCATION,B,N,Default,Medium Risk,Middle Income,25-30
23,44000,3.0,5000,14.91,0.11,2,0.1136363636363636,74550.0,1,0.81070125,High Risk,RENT,MEDICAL,D,Y,Default,Medium Risk,Upper Middle Income,20-25
24,51472,5.927562250848178,19963,12.232998985355705,0.38945671688136135,4,0.3878361208069822,244171.74927783082,0,0.99984443,High Risk,RENT,DEBTCONSOLIDATION,B,N,Default,Low Risk,Upper Middle Income,20-25
21,35000,5.0,11300,13.49,0.32,3,0.3228571428571428,152437.0,0,0.9972669,High Risk,RENT,MEDICAL,C,N,Default,Low Risk,Middle Income,20-25
35,85000,0.0,5000,9.07,0.06,6,0.0588235294117647,45350.0,2,0.029582795,Low Risk,RENT,HOMEIMPROVEMENT,A,N,No Default,High Risk,High Income,25-30
36,56900,16.0,6200,10.99,0.11,13,0.1089630931458699,68138.0,1,0.9947936,High Risk,MORTGAGE,MEDICAL,G,N,Default,Medium Risk,Low Income,25-30
24,19200,3.193620313446106,6075,11.634903683146316,0.3161275937310779,2,0.3164468166586281,70502.94437876284,0,0.99988914,High Risk,OWN,DEBTCONSOLIDATION,B,N,Default,Low Risk,Middle Income,20-25
23,90000,1.0,13675,7.49,0.15,4,0.1519444444444444,102425.75,2,0.008979168,Low Risk,MORTGAGE,EDUCATION,A,N,No Default,High Risk,High Income,20-25
25,155000,3.0,22000,16.0,0.14,4,0.1419354838709677,352000.0,0,0.1153055,Low Risk,MORTGAGE,PERSONAL,D,Y,No Default,Low Risk,High Income,20-25
36,77014,1.971001170656689,17463,12.750156484455323,0.22449252048649207,10,0.2272191502899717,218328.9758487261,0,0.99762815,High Risk,MORTGAGE,DEBTCONSOLIDATION,D,Y,Default,Low Risk,Low Income,25-30
29,43804,7.656780240478594,21462,13.51296592785642,0.4885084838476575,4,0.4909940399156635,289435.4741381982,0,0.9997466,High Risk,RENT,EDUCATION,C,N,Default,Low Risk,Upper Middle Income,20-25
25,51000,1.0,2700,9.7,0.05,2,0.0529411764705882,26190.0,2,0.093545884,Low Risk,RENT,DEBTCONSOLIDATION,B,N,No Default,High Risk,Upper Middle Income,20-25
30,36933,2.0,5000,11.91,0.14,6,0.1353802832155524,59550.0,1,0.23818378,Medium Risk,RENT,PERSONAL,C,Y,No Default,Medium Risk,Middle Income,20-25
23,90000,5.0,15000,6.03,0.17,3,0.1666666666666666,90450.0,2,0.0039131097,Low Risk,MORTGAGE,PERSONAL,A,N,No Default,High Risk,High Income,20-25
24,78000,5.0,8000,13.22,0.1,2,0.1025641025641025,105760.0,1,0.35995474,Medium Risk,MORTGAGE,DEBTCONSOLIDATION,C,N,No Default,Medium Risk,Low Income,20-25
30,78000,2.0,20000,11.11,0.26,5,0.2564102564102564,222200.0,0,0.23570476,Medium Risk,MORTGAGE,EDUCATION,B,N,No Default,Low Risk,Low Income,20-25
34,65000,3.0,20000,6.54,0.31,5,0.3076923076923077,130800.0,0,0.98970056,High Risk,RENT,HOMEIMPROVEMENT,A,N,Default,Low Risk,Low Income,25-30
28,192000,8.0,20000,10.99,0.1,9,0.1041666666666666,219800.0,0,0.08737462,Low Risk,MORTGAGE,MEDICAL,B,N,No Default,Low Risk,High Income,20-25
26,60000,7.0,16000,7.9,0.27,3,0.2666666666666666,126400.0,0,0.032246552,Low Risk,MORTGAGE,DEBTCONSOLIDATION,A,N,No Default,Low Risk,Low Income,20-25
26,44381,2.809405729427362,19190,16.663712698130436,0.43,7,0.43238318459655917,319660.0495936405,0,0.9999602,High Risk,RENT,HOMEIMPROVEMENT,D,N,Default,Low Risk,Upper Middle Income,20-25
31,18000,6.0,4000,12.84,0.22,5,0.2222222222222222,51360.0,1,0.990435,High Risk,RENT,EDUCATION,C,N,Default,Medium Risk,Middle Income,25-30
31,68004,15.0,6000,10.95,0.09,9,0.0882301041115228,65700.0,1,0.09472457,Low Risk,MORTGAGE,MEDICAL,B,N,No Default,Medium Risk,Low Income,25-30
25,23845,0.6175329324416996,7154,16.142777366110256,0.2992629939866255,2,0.3003367395406217,115231.82311354853,0,0.9988702,High Risk,RENT,PERSONAL,D,Y,Default,Low Risk,Middle Income,20-25
26,80056,0.9412680250044778,15811,12.244142366751209,0.2,3,0.19750615079929018,193547.46019735813,0,0.98799837,High Risk,MORTGAGE,DEBTCONSOLIDATION,B,N,Default,Low Risk,Middle Income,20-25
36,45600,8.0,8775,12.36,0.19,17,0.1924342105263158,108459.0,1,0.1272997,Low Risk,RENT,PERSONAL,D,Y,No Default,Medium Risk,Upper Middle Income,25-30
31,42000,8.931835610127113,3532,10.397283390917993,0.08696288913694142,8,0.08410574627979851,33435.46580290222,1,0.9977701,High Risk,OTHER,EDUCATION,B,N,Default,Medium Risk,Upper Middle Income,20-25
24,78000,8.0,24000,15.96,0.31,4,0.3076923076923077,383040.0,0,0.1833096,Low Risk,MORTGAGE,VENTURE,C,N,Default,Low Risk,Low Income,20-25
26,82700,3.0,12000,6.91,0.15,4,0.1451027811366384,82920.0,2,0.034057956,Low Risk,RENT,HOMEIMPROVEMENT,A,N,No Default,High Risk,High Income,20-25
36,30000,2.4348095994849257,10489,11.179142175775942,0.3456519040051507,14,0.34963740000536536,117166.87253952838,0,0.99993837,High Risk,RENT,PERSONAL,B,N,Default,Low Risk,Middle Income,20-25
30,101500,2.0,18000,12.18,0.18,7,0.1773399014778325,219240.0,0,0.062288214,Low Risk,RENT,HOMEIMPROVEMENT,B,N,No Default,Low Risk,High Income,20-25
26,74800,3.0,10000,14.54,0.11,3,0.1336898395721925,145400.0,1,0.9714049,High Risk,MORTGAGE,MEDICAL,D,N,Default,Medium Risk,Low Income,20-25
24,236374,3.1256411550551215,9874,14.080233665397866,0.04,2,0.04176456220615005,138682.37914529152,1,0.85314405,High Risk,OWN,PERSONAL,D,N,Default,Medium Risk,High Income,20-25
26,34200,1.0,3500,12.84,0.1,4,0.1023391812865497,44940.0,1,0.53738403,High Risk,RENT,MEDICAL,C,N,No Default,Medium Risk,Middle Income,20-25
28,78000,0.0,25000,10.99,0.32,5,0.3205128205128205,274750.0,0,0.99924785,High Risk,RENT,PERSONAL,D,Y,Default,Low Risk,Low Income,20-25
29,91200,13.0,2000,11.49,0.02,8,0.0219298245614035,22980.0,1,0.14970554,Low Risk,MORTGAGE,PERSONAL,B,N,No Default,Medium Risk,High Income,20-25
23,19250,1.0,6250,16.82,0.32,2,0.3246753246753247,105125.0,1,0.9999764,High Risk,RENT,HOMEIMPROVEMENT,E,N,Default,Medium Risk,Middle Income,20-25
24,28800,4.850177061146373,14570,7.607856851232497,0.5042508853057319,2,0.505904007369072,110779.56115485223,0,0.99976224,High Risk,RENT,MEDICAL,A,N,Default,Low Risk,Middle Income,20-25
33,31500,16.0,7200,5.79,0.23,6,0.2285714285714285,41688.0,2,0.089966424,Low Risk,RENT,MEDICAL,A,N,No Default,High Risk,Middle Income,25-30
26,55436,0.6942538140596803,7473,14.170023557506108,0.1365287309297016,4,0.13473894027877986,105698.49354808903,1,0.9984314,High Risk,RENT,HOMEIMPROVEMENT,D,N,Default,Medium Risk,Low Income,20-25
31,25000,5.0,4500,10.99,0.18,8,0.18,49455.0,1,0.009126448,Low Risk,OWN,VENTURE,C,Y,No Default,Medium Risk,Middle Income,25-30
26,80327,7.0870015256664445,8644,11.566277957129124,0.10644272865969677,4,0.1079331270798622,99610.78245403974,1,0.96882355,High Risk,OTHER,HOMEIMPROVEMENT,B,N,Default,Medium Risk,Middle Income,20-25
26,75000,5.0,20000,6.91,0.27,4,0.2666666666666666,138200.0,0,0.022631679,Low Risk,RENT,MEDICAL,A,N,No Default,Low Risk,Low Income,20-25
24,60000,8.0,20000,10.99,0.33,4,0.3333333333333333,219800.0,0,0.98781604,High Risk,RENT,VENTURE,A,N,Default,Low Risk,Low Income,20-25
26,32000,2.028840416115699,4753,10.516131572044422,0.1501442020805785,5,0.14855015787545195,49835.81813966322,1,0.9719614,High Risk,RENT,MEDICAL,B,N,Default,Medium Risk,Middle Income,20-25
37,40000,0.0,12000,9.91,0.3,15,0.3,118920.0,0,0.0030000042,Low Risk,RENT,VENTURE,B,N,No Default,Low Risk,Upper Middle Income,25-30
23,38492,7.0,6500,10.99,0.17,4,0.1688662579237244,71435.0,1,0.13769254,Low Risk,MORTGAGE,MEDICAL,B,N,No Default,Medium Risk,Middle Income,20-25
27,60000,4.0,10425,9.45,0.17,8,0.17375,98516.25,2,0.028054088,Low Risk,OWN,MEDICAL,B,N,No Default,High Risk,Low Income,20-25
25,34000,8.0,3000,10.51,0.09,3,0.088235294117647,31530.0,1,0.6778479,High Risk,MORTGAGE,HOMEIMPROVEMENT,B,N,Default,Medium Risk,Middle Income,20-25
30,100815,7.0,20000,18.3,0.17,6,0.1983831771065813,366000.0,0,0.70283175,High Risk,RENT,MEDICAL,F,Y,Default,Low Risk,High Income,20-25
28,35000,1.0,4000,10.99,0.11,6,0.1142857142857142,43960.0,1,0.007906652,Low Risk,MORTGAGE,VENTURE,B,N,No Default,Medium Risk,Middle Income,20-25
26,30000,4.0,2800,14.65,0.09,3,0.0933333333333333,41020.0,1,0.22132531,Medium Risk,RENT,VENTURE,C,Y,No Default,Medium Risk,Middle Income,20-25
25,54891,4.6284074964385535,3497,15.323199538817057,0.06371592503561446,3,0.06359304101868349,53002.84646225083,1,0.9989562,High Risk,OTHER,HOMEIMPROVEMENT,C,N,Default,Medium Risk,Middle Income,20-25
23,44096,5.433944841791925,23530,14.197664245122192,0.5349431174686708,4,0.5348778003506978,333715.48633289477,0,0.99986196,High Risk,RENT,DEBTCONSOLIDATION,C,Y,Default,Low Risk,Upper Middle Income,20-25
35,68231,3.0,22400,12.99,0.33,7,0.3282965221087189,290976.0,0,0.99591005,High Risk,RENT,EDUCATION,C,Y,Default,Low Risk,Low Income,25-30
29,53004,2.0,15000,9.63,0.28,10,0.2829975096219153,144450.0,0,0.1188852,Low Risk,MORTGAGE,HOMEIMPROVEMENT,A,N,No Default,Low Risk,Upper Middle Income,20-25
